,Nr.,Name,Abbrev.,General Formula,Specific Formula,Calculated,Info.,description
0,1,Adjusted transformed soil-adjusted VI,ATSAVI,aNIR-a·RED-ba·NIR+RED-a·b+X(1+a2),1.229-1.225-0.031.229+5-1.22·0.03+0.08(1+1.222),Automatic,More,"The Adjusted Transformed Soil-Adjusted Vegetation Index (ATSAVI) is a vegetation index that is particularly effective in areas with high levels of soil brightness. It is based on the Transformed Soil-Adjusted Vegetation Index (TSAVI), but with an additional adjustment to enhance its sensitivity to vegetation in bright soil conditions. ATSAVI is calculated using the following formula:

```
ATSAVI = (SWIR - VIS) / (SWIR + VIS + 0.5) * (1 + (0.5 * (SWIR - VIS) / (SWIR + VIS + 0.5)))
```

where SWIR is the shortwave infrared band and VIS is the visible band.

ATSAVI has been shown to be more effective than TSAVI and other vegetation indices in a variety of applications, including crop monitoring, forest mapping, and land cover classification. It is particularly useful in areas with high levels of soil brightness, such as arid and semi-arid regions."
1,2,Aerosol free vegetation index 1600,AFRI1600,(NIR-0.661600nmNIR+0.661600nm),(9-0.66119+0.6611),Automatic,More,"Aerosol-Free Vegetation Index (AFRI1600) is a remote sensing index designed to estimate vegetation cover while minimizing the influence of atmospheric aerosols. It is derived from Sentinel-2 satellite imagery and is calculated using a combination of bands in the near-infrared (NIR) and red-edge (RE) portions of the spectrum. AFRI1600 utilizes the strong absorption of aerosols in the RE band to correct for their impact on NIR reflectance, resulting in a more accurate estimation of vegetation cover. This index is particularly useful in regions with high aerosol levels, such as urban or industrial areas, and can provide valuable information for monitoring vegetation health and land cover changes."
2,3,Aerosol free vegetation index 2100,AFRI2100,(NIR-0.52100nmNIR+0.562100nm),(9-0.5129+0.5612),Automatic,More,"The Aerosol-Free Vegetation Index (AFRI2100) is designed to estimate the amount of vegetation present in an area by reducing the impact of atmospheric aerosols on the reflectance measurements made by the Sentinel-2 satellite. It uses a combination of bands from the satellite's MultiSpectral Instrument (MSI) to derive an index value that is sensitive to the presence of vegetation while minimizing the effects of atmospheric scattering and absorption. AFRI2100 can be used to monitor vegetation growth, estimate biomass, and assess the health of ecosystems."
3,4,Alteration,,[1600:1700][2145:2185],1112,Automatic,More,"**Full name of index**: Alteration

**Description**: The Alteration index is designed to highlight areas of altered minerals, which can be indicative of mineral deposits, hydrothermal alteration, or other geological processes. The index is calculated using a combination of visible, near-infrared, and shortwave infrared bands, and it relies on the strong absorption features of altered minerals in these wavelengths. The output of the Alteration index is a raster image, with higher values indicating areas of stronger alteration. This index can be useful for mineral exploration, geological mapping, and understanding the surface mineralogy of a region."
4,5,Anthocyanin reflectance index,ARI,1550nm-1700nm,13-15,Automatic,More,"Anthocyanin reflectance index (ARI) is a narrowband vegetation index designed to enhance the signal of anthocyanin pigments in plant leaves. It is calculated as the ratio of reflectance in the green (560 nm) and red (670 nm) spectral bands, and is particularly sensitive to changes in anthocyanin concentration, which are often associated with plant stress or defense responses. ARI has been successfully used in various remote sensing applications, including vegetation monitoring, stress detection, and phenological studies."
5,6,Ashburn Vegetation Index,AVI,2.0[800:1100]-[600:700],2.09-4,Automatic,More,"The Ashburn Vegetation Index (AVI) is a spectral index that quantifies the amount of green vegetation in an area. It is calculated using the near-infrared (NIR) and red (RED) bands of the Sentinel-2 satellite imagery. The AVI is expressed as a value between -1 and 1, with higher values indicating more green vegetation. The AVI is commonly used to monitor vegetation health and productivity, as well as to map land cover and land use."
6,7,Atmospherically Resistant Vegetation Index,ARVI,NIR-RED-y(RED-BLUE)NIR+RED-y(RED-BLUE),8a-5-y(5-1)8a+5-y(5-1),Manual,More,"- Atmospherically Resistant Vegetation Index (ARVI): ARVI is a vegetation index that is designed to minimize the effects of atmospheric scattering and absorption. This makes it particularly useful for remote sensing of vegetation in areas with high levels of atmospheric haze or clouds. ARVI is calculated using the following equation: ARVI = (NIR - Green) / (NIR + Green + Blue)

- Automated Water Extraction Index (AWEI): AWEI is a water index that is designed to automatically extract water features from satellite imagery. This index is based on the fact that water has a high reflectance in the near-infrared band and a low reflectance in the blue band. AWEI is calculated using the following equation: AWEI = (NIR - Blue) / (NIR + Blue)

- Built-Up Index (BUI): BUI is a built-up index that is designed to identify built-up areas from satellite imagery. This index is based on the fact that built-up areas have a high reflectance in the red and near-infrared bands and a low reflectance in the blue band. BUI is calculated using the following equation: BUI = (NIR - Blue) / (NIR + Blue + Red)

- Crop Vegetation Index (CVI): CVI is a vegetation index that is designed to measure the greenness of vegetation. This index is based on the fact that healthy vegetation has a high reflectance in the near-infrared band and a low reflectance in the red band. CVI is calculated using the following equation: CVI = (NIR - Red) / (NIR + Red)

- Difference Vegetation Index (DVI): DVI is a vegetation index that is designed to measure the difference in reflectance between the near-infrared and red bands. This index is based on the fact that healthy vegetation has a high reflectance in the near-infrared band and a low reflectance in the red band. DVI is calculated using the following equation: DVI = NIR - Red

- Enhanced Vegetation Index (EVI): EVI is a vegetation index that is designed to enhance the signal from vegetation while minimizing the effects of soil and atmospheric conditions. This index is calculated using the following equation: EVI = 2.5 * (NIR - Red) / (NIR + 6 * Red - 7.5 * Blue + 1)

- Green Normalized Difference Vegetation Index (GNDVI): GNDVI is a vegetation index that is designed to measure the greenness of vegetation. This index is based on the fact that healthy vegetation has a high reflectance in the green band and a low reflectance in the red band. GNDVI is calculated using the following equation: GNDVI = (Green - Red) / (Green + Red)

- Leaf Area Index (LAI): LAI is a measure of the amount of leaf area per unit ground area. This index is an important measure of the health and productivity of vegetation. LAI is calculated using the following equation: LAI = 0.5 * (NIR - Red) / (NIR + Red)

- Normalized Difference Built-Up Index (NDBI): NDBI is a built-up index that is designed to measure the difference in reflectance between the near-infrared and shortwave infrared bands. This index is based on the fact that built-up areas have a high reflectance in the shortwave infrared band and a low reflectance in the near-infrared"
7,8,Atmospherically Resistant Vegetation Index 2,ARVI2,-0.18+1.17(NIR-REDNIR+RED),-0.18+1.17(9-59+5),Automatic,More,"The Atmospherically Resistant Vegetation Index 2 (ARVI2) is a vegetation index designed to minimize the effects of atmospheric interference on vegetation measurements. It uses a combination of visible and near-infrared bands to measure the amount of green vegetation present in a given area. ARVI2 is particularly useful in areas with high levels of atmospheric aerosols or haze, as it is less sensitive to these effects than other vegetation indices."
8,9,Blue-wide dynamic range vegetation index,BWDRVI,0.1NIR-BLUE0.1NIR+BLUE,0.19-10.19+1,Automatic,More,"The Blue-Wide Dynamic Range Vegetation Index (BWDRVI) is designed to enhance the detection of vegetation in areas with high background brightness. It uses the blue band to minimize the influence of atmospheric effects and the red edge band to capture the reflectance properties of vegetation. The BWDRVI is particularly effective in regions with bright or heterogeneous backgrounds, such as urban areas or agricultural fields, where traditional vegetation indices may struggle to distinguish between vegetation and non-vegetated surfaces."
9,10,Browning Reflectance Index,BRI,1550nm-1700nmNIR,13-159,Automatic,More,"The Browning Reflectance Index (BRI) is a remote sensing index developed to monitor vegetation health and water stress. It is derived from Sentinel-2 satellite imagery and is calculated as BRI = (SWIR - NIR) / (SWIR + NIR), where SWIR is the shortwave infrared band and NIR is the near-infrared band. BRI values range from -1 to 1, with higher values indicating healthier vegetation and lower values indicating vegetation stress or water deficit. BRI is particularly useful for detecting vegetation stress in arid and semi-arid regions, and has been used to monitor drought and crop water status."
10,11,Canopy Chlorophyll Content Index,CCCI,NIR-rededgeNIR+rededgeNIR-RedNIR+Red,9-59+59-Red9+Red,Automatic,More,"The Canopy Chlorophyll Content Index (CCCI) is a remote sensing index derived from Sentinel-2 imagery. It measures the chlorophyll content in vegetation, and is used to estimate the photosynthetic capacity of plants. CCCI is calculated using the following formula:

CCCI = ( ( NIR - Red ) - ( Green - Blue ) ) / ( ( NIR - Red ) + ( Green - Blue ) )

where NIR is the reflectance in the near-infrared band, Red is the reflectance in the red band, Green is the reflectance in the green band, and Blue is the reflectance in the blue band.

CCCI values range from -1 to 1, with higher values indicating higher chlorophyll content. CCCI is a widely used index for monitoring vegetation health and productivity, and has been used in a variety of applications, including forest monitoring, agriculture, and ecosystem research."
11,12,Chlorophyll Absorption Ratio Index,CARI,(700nm670nm)√(a·670+670nm+b)2(a2+1)0.5,(54)√(5-3150·670+4+(3-(5-3150·550)))2(5-31502+1)0.5,Automatic,More,"The Chlorophyll Absorption Ratio Index (CARI) is a remote sensing index utilized to estimate chlorophyll content in vegetation. It exploits the contrasting absorption properties of chlorophyll in the red (670 nm) and green (550 nm) portions of the electromagnetic spectrum. CARI is calculated as the ratio of the reflectance in the red band to that in the green band, with higher CARI values indicative of increased chlorophyll concentration. This index is sensitive to vegetation greenness and can be employed to assess plant health, monitor crop growth, and identify areas of vegetation stress."
12,13,Chlorophyll Absorption Ratio Index 2,CARI2,(|(a·[670]+[670]+b)|(a2+1)0.5)([700][670]),(|(5-3150·4+4+3-(a·3))|(a2+1)0.5)(54),Automatic,More,"The Chlorophyll Absorption Ratio Index 2 (CARI2) is a vegetation index used to estimate chlorophyll content in leaves. It exploits the contrast between high absorption of green light by chlorophyll and the high reflectance of near-infrared light by leaf structures. CARI2 is calculated as the ratio of the difference between the reflectance in the green and red bands to the sum of the reflectance in the green and red bands:

```
CARI2 = (Rgreen - Rred) / (Rgreen + Rred)
```

Values of CARI2 range from -1 to 1, with higher values indicating higher chlorophyll content."
13,14,Chlorophyll Green,Chlgreen,([760:800][540:560])(-1),(73)(-1),Automatic,More,"Chlorophyll Green (Chlgreen) index is derived from Sentinel-2 imagery and is used to estimate the concentration of green chlorophyll in vegetation. It is calculated as a ratio of the reflectance values in the green and red bands. Higher values of Chlgreen indicate higher concentrations of green chlorophyll, which is a key indicator of plant health and photosynthetic activity."
14,15,Chlorophyll Index Green,CIgreen,NIRGREEN-1,93-1,Automatic,More,"The Chlorophyll Index Green (CIgreen) is a vegetation index derived from Sentinel-2 imagery that estimates the amount of green chlorophyll present in vegetation. It is calculated as the ratio of the reflectance in the green band (Band 3) to the reflectance in the red band (Band 4). CIgreen values range from -1 to 1, with higher values indicating higher chlorophyll content. This index is commonly used to assess plant health, monitor vegetation growth, and estimate crop yields. CIgreen is particularly sensitive to changes in chlorophyll concentration, making it a valuable tool for detecting stress or damage to vegetation."
